"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 23 13:28:14 GMT 2021","Mon Aug 23 13:28:36 GMT 2021","22583","","WikiTest","","WikiTest","testSearchCount","10 Adatok lementése felületről - Keresési oldalon egy adott szó megszámlálása",""
"passed","Mon Aug 23 13:28:42 GMT 2021","Mon Aug 23 13:28:45 GMT 2021","3083","","WikiTest","","WikiTest","testPrivacyPolicy","4 Adatvédelmi nyilatkozat müvelet - szöveg mentése külső fileba",""
"passed","Mon Aug 23 13:28:36 GMT 2021","Mon Aug 23 13:28:42 GMT 2021","5425","","WikiTest","","WikiTest","testLogin","1 Bejelentkezés",""
"passed","Mon Aug 23 13:29:03 GMT 2021","Mon Aug 23 13:29:13 GMT 2021","10547","","WikiTest","","WikiTest","testNewData","7 Új adat bevitel - Belépés után a user oldalon egy új aláírás beállítása",""
"skipped","Mon Aug 23 13:28:47 GMT 2021","Mon Aug 23 13:28:47 GMT 2021","0","","WikiTest","","WikiTest","testRegistration","0 Regisztráció",""
"passed","Mon Aug 23 13:28:47 GMT 2021","Mon Aug 23 13:28:54 GMT 2021","6802","","WikiTest","","WikiTest","testLoginFromFile","2 Bejelentkezés - adatok külső fileból",""
"passed","Mon Aug 23 13:28:54 GMT 2021","Mon Aug 23 13:29:03 GMT 2021","8993","","WikiTest","","WikiTest","testDeleteData","9 Adat törlése  - Belépés után a user oldalon az egyéni aláírás törlése",""
"passed","Mon Aug 23 13:29:13 GMT 2021","Mon Aug 23 13:29:18 GMT 2021","4188","","WikiTest","","WikiTest","testLogout","3 Kijelentkezés",""
"passed","Mon Aug 23 13:27:39 GMT 2021","Mon Aug 23 13:28:14 GMT 2021","34396","","WikiTest","","WikiTest","testPageWalkthrough","6 Több oldalas bejárás - URL-ek mentése listába",""
"passed","Mon Aug 23 13:29:18 GMT 2021","Mon Aug 23 13:29:22 GMT 2021","4410","","WikiTest","","WikiTest","testChangeFonts","8 Meglévő adat modosítása - Betütípus cseréje",""
"passed","Mon Aug 23 13:28:45 GMT 2021","Mon Aug 23 13:28:47 GMT 2021","2310","","WikiTest","","WikiTest","testArtsMenuListing","5 Adatok listázása - kiratás",""
