"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","0","","WikiTest","","WikiTest","testRegistration","0 Regisztráció",""
"broken","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","156","","WikiTest","","WikiTest","testArtsMenuListing","5 Adatok listázása - kiratás",""
"broken","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","174","","WikiTest","","WikiTest","testLogin","1 Bejelentkezés",""
"broken","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","166","","WikiTest","","WikiTest","testPrivacyPolicy","4 Adatvédelmi nyilatkozat müvelet - szöveg mentése külső fileba",""
"broken","Mon Aug 23 11:24:14 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","503","","WikiTest","","WikiTest","testPageWalkthrough","6 Több oldalas bejárás - URL-ek mentése listába",""
"broken","Mon Aug 23 11:24:16 GMT 2021","Mon Aug 23 11:24:16 GMT 2021","136","","WikiTest","","WikiTest","testDeleteData","9 Adat törlése  - Belépés után a user oldalon az egyéni aláírás törlése",""
"broken","Mon Aug 23 11:24:16 GMT 2021","Mon Aug 23 11:24:16 GMT 2021","139","","WikiTest","","WikiTest","testLogout","3 Kijelentkezés",""
"broken","Mon Aug 23 11:24:16 GMT 2021","Mon Aug 23 11:24:16 GMT 2021","146","","WikiTest","","WikiTest","testNewData","7 Új adat bevitel - Belépés után a user oldalon egy új aláírás beállítása",""
"broken","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:16 GMT 2021","136","","WikiTest","","WikiTest","testLoginFromFile","2 Bejelentkezés - adatok külső fileból",""
"broken","Mon Aug 23 11:24:16 GMT 2021","Mon Aug 23 11:24:16 GMT 2021","164","","WikiTest","","WikiTest","testChangeFonts","8 Meglévő adat modosítása - Betütípus cseréje",""
"broken","Mon Aug 23 11:24:15 GMT 2021","Mon Aug 23 11:24:15 GMT 2021","205","","WikiTest","","WikiTest","testSearchCount","10 Adatok lementése felületről - Keresési oldalon egy adott szó megszámlálása",""
