"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 12:15:48 GMT 2021","Mon Aug 23 12:15:56 GMT 2021","7929","","WikiTest","","WikiTest","testDeleteData","9 Adat törlése  - Belépés után a user oldalon az egyéni aláírás törlése",""
"failed","Mon Aug 23 12:15:13 GMT 2021","Mon Aug 23 12:15:35 GMT 2021","21653","","WikiTest","","WikiTest","testSearchCount","10 Adatok lementése felületről - Keresési oldalon egy adott szó megszámlálása",""
"passed","Mon Aug 23 12:16:08 GMT 2021","Mon Aug 23 12:16:12 GMT 2021","4252","","WikiTest","","WikiTest","testChangeFonts","8 Meglévő adat modosítása - Betütípus cseréje",""
"passed","Mon Aug 23 12:15:39 GMT 2021","Mon Aug 23 12:15:42 GMT 2021","2878","","WikiTest","","WikiTest","testPrivacyPolicy","4 Adatvédelmi nyilatkozat müvelet - szöveg mentése külső fileba",""
"passed","Mon Aug 23 12:14:39 GMT 2021","Mon Aug 23 12:15:13 GMT 2021","33901","","WikiTest","","WikiTest","testPageWalkthrough","6 Több oldalas bejárás - URL-ek mentése listába",""
"skipped","Mon Aug 23 12:15:44 GMT 2021","Mon Aug 23 12:15:44 GMT 2021","0","","WikiTest","","WikiTest","testRegistration","0 Regisztráció",""
"passed","Mon Aug 23 12:16:03 GMT 2021","Mon Aug 23 12:16:08 GMT 2021","5187","","WikiTest","","WikiTest","testLogout","3 Kijelentkezés",""
"passed","Mon Aug 23 12:15:42 GMT 2021","Mon Aug 23 12:15:44 GMT 2021","2090","","WikiTest","","WikiTest","testArtsMenuListing","5 Adatok listázása - kiratás",""
"broken","Mon Aug 23 12:15:56 GMT 2021","Mon Aug 23 12:16:03 GMT 2021","6451","","WikiTest","","WikiTest","testNewData","7 Új adat bevitel - Belépés után a user oldalon egy új aláírás beállítása",""
"passed","Mon Aug 23 12:15:35 GMT 2021","Mon Aug 23 12:15:39 GMT 2021","4134","","WikiTest","","WikiTest","testLogin","1 Bejelentkezés",""
"passed","Mon Aug 23 12:15:44 GMT 2021","Mon Aug 23 12:15:48 GMT 2021","4105","","WikiTest","","WikiTest","testLoginFromFile","2 Bejelentkezés - adatok külső fileból",""
